PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
50.82,118.01,9.3,0.48,14.03,17.67,92.0,2
58.31,85.39,10.82,0.47,14.47,33.85,122.0,3
59.88,78.04,9.65,0.51,16.42,41.23,80.0,2
55.61,92.36,11.71,0.49,27.07,44.89,105.0,3
83.66,134.1,13.63,1.09,25.9,43.69,105.0,3
141.8,243.91,21.87,1.52,23.99,32.2,293.0,4
133.26,219.95,19.93,1.13,25.62,36.21,321.0,5
69.9,114.89,10.49,0.54,18.96,21.58,206.0,4
94.29,173.04,17.65,1.11,16.71,16.98,285.0,4
60.89,98.85,13.79,0.64,17.6,30.81,152.0,3
62.0,76.05,11.73,0.67,15.72,19.09,93.0,2
69.01,104.75,11.5,0.85,16.11,18.39,113.0,3
89.55,152.36,18.77,1.06,22.36,36.19,183.0,3
106.89,199.74,18.6,1.26,21.78,29.67,226.0,4
97.6,185.68,15.4,0.92,16.91,30.05,277.0,4
68.21,119.93,9.74,0.62,20.25,47.8,126.0,3
63.29,90.92,10.2,0.54,19.66,43.86,148.0,3
74.81,112.75,15.01,0.85,16.5,25.03,102.0,3
104.14,177.76,21.06,1.19,19.3,24.21,236.0,4
116.75,206.29,21.55,1.19,18.87,18.93,265.0,4
124.9,237.1,19.23,1.09,24.61,46.36,303.0,5
124.94,213.84,17.73,1.31,23.78,37.83,267.0,4
123.34,206.87,16.95,0.99,23.95,48.98,316.0,5
100.41,187.83,21.98,1.03,21.27,47.36,212.0,4
138.45,258.63,30.42,1.29,23.2,41.21,303.0,5
138.03,280.4,24.74,1.23,20.42,31.23,321.0,5
131.69,322.56,23.71,1.03,17.5,17.1,312.0,5
105.33,191.58,24.87,1.12,21.56,34.22,231.0,4
153.22,269.54,31.59,1.61,27.63,28.29,308.0,5
91.58,145.24,16.31,0.9,21.79,46.73,303.0,5
66.5,100.2,15.9,0.82,20.72,42.59,118.0,3
73.33,200.77,12.45,0.59,22.51,59.44,148.0,3
53.17,244.18,8.41,0.4,24.26,65.28,198.0,3
67.46,139.67,12.05,0.72,24.23,43.92,150.0,3
70.83,143.99,14.69,0.86,26.9,49.96,123.0,3
118.05,236.55,26.61,1.21,25.51,47.1,268.0,4
119.32,225.03,24.83,1.12,24.25,34.24,306.0,5
62.29,87.81,10.6,0.67,17.84,30.71,156.0,3
79.69,138.38,18.47,0.93,21.41,41.97,109.0,3
114.47,203.18,29.01,1.26,23.39,34.37,258.0,4
140.62,225.28,23.92,1.26,34.54,26.71,300.0,4
48.63,64.89,11.86,0.5,19.19,45.26,236.0,4
35.72,50.06,11.66,0.76,18.67,43.8,74.0,2
58.96,91.04,14.85,0.76,22.37,36.43,109.0,3
23.13,153.45,13.17,0.43,26.11,63.06,99.0,2
29.99,62.01,11.69,0.37,32.4,55.27,120.0,3
25.78,36.21,12.24,0.46,18.57,45.95,61.0,2
56.1,82.28,15.92,0.74,19.42,32.52,74.0,2
43.93,69.9,13.05,0.64,22.18,36.2,103.0,3
28.95,40.1,11.5,0.48,17.93,38.96,59.0,2
30.06,40.09,14.44,0.56,16.14,30.94,53.0,2
37.76,67.42,14.69,0.75,17.21,43.24,74.0,2
66.63,135.87,18.87,1.03,21.65,36.44,114.0,3
79.26,153.64,25.1,0.95,20.12,40.9,161.0,3
85.8,141.6,25.11,0.88,19.03,41.0,179.0,3
51.4,76.17,19.16,0.59,18.75,41.84,140.0,3
47.34,61.7,16.23,0.66,17.31,33.38,67.0,2
42.85,56.26,16.64,0.55,16.33,44.77,90.0,2
87.16,110.57,18.99,0.84,17.26,39.13,92.0,2
58.84,108.28,13.0,0.78,16.8,23.46,181.0,3
58.98,108.56,16.64,0.8,17.35,36.7,107.0,3
52.39,99.12,12.81,0.52,17.64,52.49,107.0,3
36.8,55.86,12.7,0.54,20.37,54.43,86.0,2
42.87,61.08,15.48,0.59,21.73,54.18,84.0,2
56.03,88.14,22.46,0.8,17.64,46.95,95.0,2
76.74,133.16,31.12,1.0,18.26,19.6,115.0,3
96.66,168.91,31.38,1.15,17.29,21.58,202.0,4
88.27,149.31,35.39,0.92,16.88,26.83,218.0,4
57.55,87.53,17.36,0.58,16.95,47.07,137.0,3
32.5,39.5,10.65,0.47,18.21,39.65,71.0,2
24.68,36.05,11.02,0.42,18.79,40.92,53.0,2
13.68,21.96,8.73,0.36,23.19,45.86,53.0,2
9.62,14.5,7.25,0.35,22.41,44.3,54.0,2
28.45,46.41,14.02,0.58,22.91,40.96,67.0,2
21.9,37.94,7.0,0.28,28.51,38.57,79.0,2
51.38,87.31,17.0,0.81,23.26,24.48,80.0,2
40.8,77.72,15.16,0.56,25.18,55.57,110.0,3
25.83,56.37,9.28,0.36,19.51,62.95,76.0,2
27.82,44.86,8.06,0.38,19.39,67.62,77.0,2
20.83,44.79,8.33,0.39,19.61,66.8,79.0,2
23.05,38.97,9.44,0.43,19.7,55.16,73.0,2
33.35,57.32,10.32,0.57,19.81,35.5,62.0,2
65.01,85.31,13.27,0.49,19.73,47.25,99.0,2
28.15,43.75,11.58,0.44,19.46,62.12,122.0,3
