temperature,humidity,surface moisture,smoke,CAUTION
26.65,92,0.26,0,0
26.32,93,0.26,0,0
25.95,93,0.26,0,0
25.5,94,0.26,0,0
25.41,94,0.26,0,0
25.14,94,0.26,0,0
25.59,93,0.26,0,0
28.05,85,0.26,0,0
29.83,76,0.26,0,0
31.19,70,0.26,1,1
31.87,68,0.26,1,1
31.36,40,0.27,1,1
29.83,81,0.27,0,0
30.6,81,0.27,0,0
30.92,86,0.29,0,0
30.57,89,0.29,0,0
29.16,85,0.32,0,0
28.68,90,0.31,0,0
28.58,94,0.3,0,0
27.31,72,0.26,0,1
27.12,92,0.29,0,0
26.95,93,0.29,0,0
26.8,93,0.29,0,0
26.67,33,0.29,0,1
26.52,33,0.28,1,1
26.2,94,0.28,0,0
26.06,94,0.28,0,0
25.98,74,0.26,1,1
25.9,94,0.28,0,0
25.87,94,0.28,0,0
26.06,34,0.28,1,1
27.45,90,0.28,0,0
28.26,84,0.28,0,0
27.93,84,0.28,0,0
28.05,83,0.28,0,0
28.86,81,0.27,0,0
29.21,78,0.27,1,1
30.16,74,0.27,0,0
30.47,73,0.27,0,0
29.16,78,0.27,0,0
28.62,81,0.27,0,0
28.41,83,0.27,0,0
27.39,87,0.27,0,0
27.09,86,0.27,0,0
26.52,89,0.27,0,0
26.13,32,0.22,1,1
25.82,93,0.27,0,0
25.7,94,0.27,0,0
25.47,95,0.27,0,0
25.29,96,0.27,0,0
25.03,97,0.27,0,0
24.79,98,0.27,0,0
24.7,68,0.25,0,0
24.63,99,0.27,0,0
25.15,96,0.27,0,0
26.58,90,0.27,0,0
27.24,88,0.27,0,0
29.01,80,0.27,1,1
30.03,75,0.27,0,0
30.72,71,0.26,0,0
29.06,79,0.26,1,1
28.46,84,0.28,0,0
28.1,86,0.29,0,0
27.71,88,0.29,0,0
27.42,90,0.3,0,0
27.16,92,0.31,0,0
26.95,74,0.24,1,1
26.57,89,0.28,0,0
26.22,31,0.22,1,1
25.87,93,0.27,0,0
25.67,94,0.27,0,0
25.14,97,0.27,0,0
24.74,96,0.27,0,0
24.41,96,0.27,0,0
24.08,96,0.27,0,0
23.76,96,0.27,0,0
23.41,96,0.27,0,0
23.2,96,0.27,0,0
24,94,0.27,0,0
26.13,90,0.27,0,0
27.46,86,0.27,0,0
28.4,81,0.27,0,0
29.2,47,0.27,1,1
29.77,74,0.26,0,0
30.16,70,0.26,1,1
30.43,73,0.26,1,1
30.38,73,0.26,0,0
30.07,74,0.26,0,0
28.97,77,0.26,0,0
28.41,79,0.26,0,0
28.13,82,0.26,0,0
27,89,0.29,0,0
26.5,91,0.28,0,0
26.14,92,0.28,0,0
25.81,94,0.28,0,0
25.53,92,0.28,0,0
25.16,92,0.28,0,0
24.87,92,0.28,0,0
24.47,92,0.28,0,0
24.16,92,0.28,0,0
23.93,73,0.25,1,1
23.65,91,0.27,0,0
24.15,91,0.27,0,0
26.66,92,0.27,0,0
28.85,80,0.27,0,0
30,77,0.27,0,0
29.81,82,0.28,0,0
29.27,47,0.28,1,1
28.63,79,0.28,0,0
29.91,77,0.28,0,0
29.69,80,0.28,0,0
29.55,40,0.28,1,1
29.93,75,0.27,0,0
29.87,75,0.27,0,0
28.92,40,0.23,1,1
28.37,83,0.26,0,0
27.84,85,0.26,0,0
27.44,86,0.26,0,0
26.97,86,0.26,0,0
26.18,89,0.26,0,0
25.33,91,0.26,0,0
24.64,93,0.26,0,0
24.05,93,0.26,0,0
23.51,94,0.26,0,0
23.05,94,0.26,0,0
22.68,44,0.22,0,0
22.98,63,0.26,0,0
26.15,89,0.26,0,0
29.62,72,0.26,0,0
31.2,67,0.26,1,1
32.42,84,0.28,0,0
33.31,40,0.27,0,0
33.85,60,0.25,1,1
34.09,58,0.25,1,1
32.65,65,0.25,1,1
32.59,68,0.25,1,1
33,60,0.25,1,1
32.34,92,0.25,0,0
30.7,73,0.25,1,1
29.6,74,0.26,0,0
28.7,77,0.26,0,0
28.04,80,0.26,0,0
27.07,83,0.26,0,0
26.24,46,0.24,1,1
25.45,88,0.26,0,0
24.88,89,0.26,0,0
24.36,89,0.26,0,0
23.92,90,0.26,0,0
23.48,90,0.26,0,0
23.23,90,0.26,0,0
24.11,86,0.26,0,0
26.85,85,0.26,0,0
29.5,73,0.26,0,0
31.22,67,0.26,1,1
32.49,64,0.26,0,1
33.41,61,0.25,0,1
33.94,39,0.28,0,0
34.04,29,0.28,0,0
32.99,64,0.25,1,1
32.53,68,0.25,1,1
32.73,60,0.25,1,1
32.12,63,0.25,0,0
30.53,77,0.25,0,0
28.7,88,0.27,0,0
28.3,89,0.27,0,0
28.02,89,0.27,0,0
27.76,89,0.27,0,0
27.55,91,0.27,0,0
27.43,92,0.27,0,0
27.19,92,0.27,0,0
26.8,92,0.26,0,0
26.56,91,0.26,0,0
26.39,91,0.26,0,0
26.43,92,0.26,0,0
26.79,91,0.26,0,0
27.77,92,0.26,0,0
28.79,83,0.26,0,0
29.68,80,0.26,1,1
29.97,84,0.27,0,0
30.02,84,0.29,0,0
28.62,85,0.3,0,0
28.3,85,0.3,0,0
28.55,83,0.3,0,0
28.48,84,0.29,0,0
28.87,83,0.29,0,0
28.77,84,0.29,0,0
28.19,87,0.29,0,0
27.88,93,0.31,0,0
27.8,92,0.3,0,0
27.84,91,0.3,0,0
27.76,91,0.3,0,0
27.52,91,0.3,0,0
27.18,92,0.29,0,0
26.69,94,0.29,0,0
25.98,97,0.3,0,0
25.75,98,0.3,0,0
25.41,98,0.31,0,0
25.21,98,0.33,0,0
25.02,97,0.35,0,0
24.91,97,0.35,0,0
24.87,96,0.35,0,0
24.86,96,0.35,0,0
24.89,95,0.35,0,0
25.09,95,0.35,0,0
25.5,95,0.34,0,0
25.95,93,0.33,0,0
26.28,91,0.33,0,0
26.55,91,0.32,0,0
26.65,90,0.32,0,0
26.45,92,0.32,0,0
25.9,94,0.31,0,0
27.81,93,0.3,0,0
27.43,93,0.3,0,0
26.98,94,0.29,0,0
26.54,94,0.29,0,0
26.14,94,0.29,0,0
25.74,95,0.29,0,0
25.38,95,0.29,0,0
25.06,95,0.29,0,0
24.86,94,0.28,0,0
24.65,94,0.28,0,0
24.4,94,0.28,0,0
24.4,94,0.28,0,0
24.68,94,0.28,0,0
26.86,86,0.28,0,0
27.47,83,0.28,0,0
28.1,80,0.29,0,0
29.22,75,0.29,1,1
29.59,75,0.28,0,0
29.9,74,0.28,0,0
29.41,77,0.28,0,0
28.47,84,0.28,0,0
27.47,91,0.29,0,0
27.18,92,0.29,0,0
26.55,94,0.28,0,0
26.17,94,0.28,0,0
26.08,91,0.28,0,0
25.91,90,0.29,0,0
25.69,88,0.29,0,0
25.33,87,0.29,0,0
24.9,87,0.29,0,0
24.53,87,0.28,0,0
24.27,89,0.28,0,0
24.13,88,0.28,0,0
24.02,87,0.28,0,0
24.02,87,0.28,0,0
24.53,87,0.28,0,0
26.5,87,0.28,0,0
27.88,79,0.28,0,0
29.27,75,0.28,1,1
30.71,69,0.28,0,0
30.66,72,0.28,0,0
28.87,81,0.29,0,0
29.54,80,0.29,0,0
28.88,81,0.3,0,0
28.15,87,0.29,0,0
27.99,84,0.29,0,0
27.37,87,0.29,0,0
26.82,90,0.29,0,0
26.46,91,0.29,0,0
26.13,91,0.29,0,0
25.91,91,0.29,0,0
25.61,91,0.29,0,0
25.19,93,0.29,0,0
24.58,93,0.29,0,0
24.19,92,0.29,0,0
23.76,92,0.29,0,0
23.4,92,0.29,0,0
