indoor,outdoor,someone_exist,fan
24.73,27.3,1,0
26,27.52,1,1
24.39,26.2,1,0
25.2,26.8,1,0
23.48,25.2,1,0
24.13,24.05,1,0
24.71,26.44,1,0
23.96,25.8,1,0
26.23,27.71,1,1
25.98,27.7,1,1
23.91,25.66,1,0
25.59,26.66,1,1
25.83,25.62,1,1
25.5,27.2,1,1
24.53,25.6,1,0
26.18,27.8,1,1
22.9,25,1,0
24.84,26.6,1,0
23.18,25.36,1,0
24.25,26.26,1,0
25,26.52,1,0
23.12,25.15,1,0
24.62,26.55,1,0
23.91,25.98,1,0
23.79,25.91,1,0
24.15,26.08,1,0
24.45,25.63,1,0
24.59,26.3,1,0
26,27.7,1,1
25.18,27.02,1,0
24.82,26.8,1,0
25.18,26.92,1,0
24.23,26.04,1,0
24.27,25.7,1,0
25.95,27.4,1,1
24.41,26.29,1,0
25.41,27.2,1,0
22.51,23.86,1,0
25,26.8,1,0
24.82,26.42,1,0
27.62,28.44,1,1
26.14,27.29,1,1
28.8,28.24,1,1
22.95,25.24,1,0
25.2,27.06,1,0
25,26.83,1,0
24.89,26.28,1,0
24.23,26.25,1,0
24.62,26.65,1,0
25.4,27.14,1,0
24.46,26.1,1,0
22.78,24.36,1,0
23.7,25.71,1,0
24.4,26.26,1,0
23.02,25.21,1,0
22.82,24.75,1,0
22.84,24.61,1,0
25.18,26.86,1,0
25.41,26.8,1,0
23.52,25.19,1,0
24.2,25.8,1,0
25.6,27.07,1,1
28.02,28.18,1,1
23.32,25.08,1,0
24.39,26.85,1,0
25.09,25.77,1,0
24.14,26.09,1,0
24.11,25.96,1,0
24.77,26.6,1,0
23.95,26.46,1,0
24.67,26.52,1,0
31.89,34.1,1,1
24.74,24.79,1,0
32.24,33.15,1,1
23.67,25.81,1,0
24.11,26.56,1,0
25.03,27.14,1,0
23.07,25.69,1,0
25.78,27.05,1,1
25.47,27.1,1,0
24.75,26.72,1,0
32.6,33.61,1,1
23.6,26.38,1,0
23.66,25.95,1,0
25.53,27.59,1,1
22.02,25.22,1,0
22.41,24.01,1,0
24.79,26.42,1,0
23.39,24.9,1,0
25.64,27.56,1,1
24.19,26.51,1,0
24.57,26.62,1,0
25.4,27.1,1,0
24.27,26.39,1,0
29.92,31.87,1,1
25.47,25.9,1,0
25.35,27.09,1,0
25,26.8,1,0
25.4,27.2,1,0
24.48,26.9,1,0
24.8,26.44,1,0
25.55,26.28,1,1
25.88,26.94,1,1
23.67,25.61,1,0
24.54,26.4,1,0
25.86,27.62,1,1
24.34,24.96,1,0
24.99,26.62,1,0
24.74,26.7,1,0
25.04,25.67,1,0
24.57,25.99,1,0
23.48,26.06,1,0
24.59,26.7,1,0
24.71,27.59,1,1
23.32,25.37,1,0
24.7,26.4,1,0
24.11,26.17,1,0
32.37,34.36,1,1
24.45,27.6,1,1
25.09,26.9,1,0
23.82,25.77,1,0
24.91,26.99,1,0
25.28,27,1,0
26.09,27.49,1,1
26.44,27.3,1,1
23.65,25.79,1,0
24.23,26.55,1,0
30.17,32.37,1,1
24.83,26.18,1,0
