PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
81.4,124.5,20.5,0.12,15.24,127.09,184,3
78.32,129.06,26,0.14,26.96,117.44,197,3
88.76,135.32,30.85,0.11,33.59,111.81,198,3
64.18,104.09,28.07,0.09,19,138.18,188,3
72.47,114.84,23.2,0.16,10.55,109.74,173,3
69.8,114.86,20.17,0.12,14.07,118.09,165,3
73.96,113.56,19.29,0.1,13.9,123.8,191,3
89.9,140.2,26.19,0.1,19.37,128.73,191,3
87.14,130.52,21.31,0.15,11.41,114.8,227,4
84.64,125,26.98,0.18,9.84,112.41,168,3
88.36,121.77,20.23,0.12,14.02,117.93,198,3
96.83,139.36,25.65,0.11,16.54,117.21,201,4
117.46,181.64,41.1,0.13,28.79,94.63,252,4
122.88,208.86,54.87,0.27,22.97,68.6,310,5
74.28,141.22,44.97,0.09,21.9,60.62,196,3
50.32,102.77,33.85,0.1,13.65,68.15,132,3
58.47,115.27,41.64,0.16,18.37,73.75,147,3
89.35,131.48,42.1,0.24,7.42,44.67,179,3
64.42,99.74,34.78,0.15,5.81,50.16,145,3
69.4,98.94,29.97,0.14,5.8,55,115,3
71.07,109.65,25,0.1,8.33,79.04,140,3
79.76,129.81,40.92,0.17,8.51,73.17,156,3
108.06,167.62,47.05,0.08,16.05,70.74,225,4
100.75,172.04,53.94,0.11,14.05,59.2,251,4
106.25,171.56,43.09,0.13,15.45,66.9,228,4
83.79,141.83,47.47,0.3,13.35,77.54,223,4
79.98,147.74,49.55,0.14,13.58,79.71,170,3
76.27,152.59,56,0.15,29.88,56.97,165,3
86.5,147.95,42,0.15,11.85,73.09,159,3
100.62,167.75,47.68,0.22,10.85,62.78,232,4
110.73,171.47,31.06,0.1,12.23,76.07,242,4
107.7,170.21,43.54,0.17,18.07,64.6,274,4
104.81,192.2,63.48,0.23,17.01,63.87,259,4
89.95,175.16,64.53,0.27,15.52,62.49,225,4
74.58,138.6,46.65,0.17,9.47,67.11,177,3
56.68,109.33,33.26,0.1,8.26,66.91,120,3
61.03,131.62,39.5,0.08,11.45,61.91,120,3
59.03,108.83,23.36,0.09,26.05,87.55,120,3
61.88,109.82,23.14,0.09,12.81,81.38,132,3
71.57,137.48,39.99,0.09,16.82,80.3,136,3
92.44,174.75,53.79,0.11,16.93,71.09,182,3
92.9,162.69,56.39,0.08,23.11,68.79,222,4
85.15,151.97,61.55,0.07,11.86,90.8,230,4
81.47,145.68,46.9,0.07,9.63,96.49,224,4
81.58,132.66,34.93,0.09,12.81,118.91,217,4
79.56,146.64,37.58,0.05,17.77,137.61,230,4
87.43,155.95,37.31,0.1,13.4,121.72,229,4
87.33,153.97,42.52,0.08,35.39,106.17,229,4
110.39,182.54,52.24,0.04,36.01,82.2,235,4
77.51,125.01,36.41,0.05,14.36,72.16,214,4
86.96,129.99,28.32,0.05,4.83,62.6,186,3
76.29,115.53,21.35,0.05,8.75,69.99,172,3
67.06,100.34,20.25,0.06,4.7,54.92,138,3
68.34,104.45,26.26,0.06,6.43,45.63,125,3
66.28,117.3,45.13,0.05,7.21,45.97,132,3
64.98,116.14,45.4,0.06,8.83,50.28,111,3
